iter	Passed	Remaining
0	186	559475
1	240	360868
2	282	282466
3	305	228872
4	335	201150
5	363	181323
6	383	164146
7	428	160260
8	474	157803
9	523	156428
10	547	148869
11	570	142150
12	620	142469
13	666	142257
14	715	142418
15	755	140853
16	789	138569
17	819	135838
18	842	132160
19	863	128691
20	908	128874
21	956	129409
22	979	126810
23	1001	124156
24	1047	124678
25	1078	123379
26	1107	121964
27	1144	121452
28	1191	122101
29	1229	121732
30	1277	122398
31	1325	122940
32	1348	121214
33	1368	119392
34	1413	119728
35	1435	118209
36	1482	118758
37	1506	117400
38	1535	116544
39	1557	115267
40	1593	115023
41	1624	114387
42	1644	113120
43	1665	111920
44	1687	110806
45	1715	110188
46	1737	109171
47	1790	110124
48	1830	110267
49	1891	111602
50	1921	111089
51	1949	110507
52	1985	110407
53	2007	109496
54	2054	110028
55	2077	109204
56	2105	108723
57	2156	109409
58	2180	108681
59	2224	109010
60	2272	109498
61	2320	109981
62	2344	109279
63	2392	109761
64	2431	109808
65	2461	109409
66	2496	109306
67	2533	109220
68	2571	109250
69	2618	109613
70	2657	109644
71	2695	109618
72	2741	109919
73	2790	110331
74	2843	110883
75	2893	111304
76	2931	111270
77	2959	110886
78	2996	110794
79	3034	110744
80	3081	111052
81	3128	111338
82	3177	111658
83	3225	111966
84	3273	112271
85	3311	112197
86	3359	112477
87	3390	112195
88	3427	112097
89	3474	112345
90	3521	112585
91	3568	112789
92	3614	112993
93	3653	112934
94	3698	113096
95	3747	113358
96	3795	113602
97	3843	113823
98	3882	113767
99	3927	113906
100	3973	114048
101	4023	114313
102	4063	114277
103	4107	114373
104	4153	114523
105	4200	114680
106	4248	114881
107	4296	115039
108	4343	115191
109	4390	115341
110	4440	115575
111	4487	115703
112	4534	115860
113	4582	116020
114	4631	116192
115	4684	116463
116	4732	116604
117	4783	116835
118	4830	116938
119	4877	117063
120	4923	117141
121	4967	117187
122	5020	117427
123	5068	117549
124	5113	117614
125	5158	117670
126	5203	117716
127	5234	117451
128	5280	117513
129	5327	117619
130	5376	117740
131	5414	117639
132	5462	117750
133	5508	117814
134	5556	117927
135	5601	117957
136	5647	118022
137	5694	118095
138	5740	118150
139	5788	118254
140	5835	118316
141	5880	118362
142	5928	118442
143	5976	118541
144	6009	118315
145	6054	118346
146	6102	118433
147	6147	118467
148	6194	118526
149	6243	118631
150	6291	118698
151	6337	118744
152	6386	118838
153	6433	118885
154	6469	118753
155	6517	118819
156	6567	118918
157	6615	118991
158	6679	119350
159	6728	119429
160	6779	119538
161	6818	119443
162	6866	119515
163	6917	119620
164	6964	119655
165	7009	119674
166	7055	119691
167	7100	119701
168	7145	119704
169	7191	119716
170	7238	119747
171	7284	119763
172	7330	119781
173	7370	119706
174	7414	119685
175	7461	119728
176	7507	119736
177	7554	119766
178	7598	119758
179	7644	119763
180	7689	119757
181	7737	119796
182	7785	119841
183	7831	119862
184	7878	119880
185	7926	119925
186	7974	119953
187	8019	119944
188	8064	119938
189	8110	119948
190	8156	119952
191	8202	119961
192	8246	119938
193	8292	119947
194	8337	119935
195	8383	119939
196	8428	119927
197	8475	119947
198	8522	119952
199	8567	119950
200	8612	119938
201	8661	119969
202	8707	119974
203	8752	119967
204	8799	119975
205	8845	119966
206	8889	119937
207	8934	119924
208	8979	119915
209	9028	119946
210	9073	119936
211	9117	119906
212	9162	119892
213	9208	119876
214	9254	119876
215	9300	119874
216	9347	119877
217	9392	119857
218	9438	119850
219	9485	119862
220	9533	119876
221	9580	119887
222	9625	119864
223	9677	119927
224	9724	119935
225	9771	119940
226	9820	119967
227	9866	119954
228	9911	119934
229	9958	119930
230	10002	119898
231	10048	119887
232	10096	119906
233	10143	119904
234	10189	119887
235	10224	119742
236	10267	119703
237	10313	119684
238	10360	119682
239	10405	119659
240	10450	119644
241	10495	119608
242	10541	119597
243	10588	119594
244	10631	119549
245	10665	119406
246	10709	119363
247	10755	119355
248	10803	119361
249	10849	119343
250	10895	119332
251	10940	119302
252	10988	119306
253	11033	119287
254	11080	119280
255	11132	119331
256	11179	119325
257	11226	119310
258	11272	119300
259	11320	119297
260	11365	119275
261	11412	119262
262	11458	119243
263	11503	119214
264	11547	119181
265	11591	119144
266	11634	119090
267	11683	119104
268	11726	119053
269	11775	119067
270	11823	119065
271	11869	119048
272	11904	118915
273	11948	118870
274	11991	118824
275	12036	118797
276	12081	118768
277	12126	118736
278	12175	118743
279	12219	118703
280	12264	118676
281	12310	118651
282	12355	118617
283	12398	118570
284	12440	118510
285	12489	118514
286	12534	118487
287	12579	118458
288	12625	118439
289	12671	118412
290	12719	118404
291	12764	118380
292	12811	118368
293	12857	118344
294	12902	118310
295	12949	118296
296	12996	118278
297	13041	118247
298	13084	118201
299	13131	118185
300	13177	118160
301	13228	118181
302	13277	118178
303	13323	118154
304	13367	118120
305	13413	118088
306	13457	118045
307	13501	118010
308	13544	117958
309	13588	117909
310	13637	117913
311	13683	117890
312	13730	117870
313	13776	117850
314	13820	117805
315	13865	117771
316	13908	117713
317	13961	117750
318	14004	117697
319	14054	117702
320	14100	117677
321	14144	117635
322	14188	117594
323	14235	117573
324	14282	117553
325	14323	117484
326	14368	117451
327	14413	117420
328	14460	117401
329	14507	117377
330	14553	117350
331	14600	117331
332	14645	117294
333	14692	117277
334	14738	117246
335	14784	117217
336	14832	117210
337	14881	117202
338	14925	117158
339	14969	117115
340	15018	117112
341	15065	117089
342	15112	117065
343	15160	117050
344	15205	117013
345	15250	116979
346	15296	116947
347	15343	116929
348	15386	116875
349	15432	116845
350	15473	116777
351	15521	116763
352	15560	116680
353	15605	116643
354	15651	116612
355	15697	116581
356	15743	116555
357	15789	116527
358	15837	116506
359	15883	116479
360	15925	116422
361	15973	116405
362	16016	116351
363	16062	116324
364	16107	116283
365	16154	116259
366	16198	116214
367	16240	116153
368	16287	116130
369	16332	116092
370	16375	116044
371	16420	116003
372	16465	115963
373	16512	115941
374	16557	115903
375	16601	115859
376	16649	115837
377	16695	115805
378	16738	115759
379	16789	115757
380	16831	115702
381	16879	115684
382	16925	115648
383	16972	115628
384	17018	115594
385	17061	115543
386	17107	115508
387	17151	115466
388	17195	115418
389	17243	115401
390	17288	115358
391	17335	115334
392	17384	115324
393	17435	115320
394	17488	115334
395	17541	115350
396	17591	115344
397	17642	115343
398	17692	115334
399	17743	115334
400	17790	115308
401	17841	115306
402	17889	115281
403	17936	115255
404	17984	115234
405	18032	115209
406	18080	115187
407	18126	115158
408	18174	115132
409	18218	115088
410	18259	115022
411	18309	115009
412	18360	115006
413	18425	115093
414	18474	115077
415	18525	115071
416	18572	115043
417	18619	115010
418	18667	114989
419	18712	114949
420	18755	114894
421	18804	114875
422	18869	114955
423	18918	114939
424	18962	114892
425	19013	114882
426	19060	114852
427	19102	114791
428	19153	114787
429	19199	114747
430	19245	114715
431	19290	114668
432	19334	114622
433	19375	114558
434	19423	114530
435	19467	114484
436	19510	114428
437	19554	114378
438	19598	114333
439	19648	114316
440	19691	114266
441	19731	114192
442	19780	114173
443	19825	114129
444	19872	114096
445	19917	114055
446	19959	113997
447	20006	113964
448	20053	113931
449	20093	113863
450	20139	113824
451	20181	113768
452	20227	113731
453	20269	113671
454	20320	113661
455	20365	113616
456	20405	113547
457	20451	113512
458	20494	113454
459	20539	113412
460	20580	113346
461	20629	113330
462	20673	113280
463	20721	113255
464	20768	113219
465	20812	113175
466	20860	113145
467	20904	113098
468	20949	113054
469	20994	113011
470	21041	112978
471	21085	112934
472	21126	112865
473	21174	112840
474	21217	112789
475	21262	112746
476	21309	112715
477	21352	112658
478	21396	112608
479	21441	112566
480	21485	112520
481	21529	112473
482	21575	112434
483	21621	112394
484	21661	112327
485	21711	112309
486	21755	112260
487	21799	112215
488	21840	112148
489	21886	112111
490	21930	112061
491	21976	112024
492	22024	111996
493	22069	111957
494	22114	111910
495	22158	111864
496	22199	111803
497	22248	111778
498	22294	111740
499	22339	111696
500	22382	111642
501	22433	111628
502	22478	111587
503	22521	111534
504	22569	111504
505	22616	111473
506	22661	111428
507	22708	111398
508	22756	111370
509	22802	111329
510	22846	111282
511	22893	111245
512	22937	111200
513	22980	111149
514	23026	111109
515	23068	111050
516	23113	111006
517	23158	110961
518	23202	110916
519	23247	110870
520	23292	110827
521	23333	110765
522	23381	110736
523	23426	110696
524	23472	110656
525	23515	110600
526	23564	110576
527	23613	110552
528	23656	110499
529	23702	110462
530	23744	110405
531	23793	110379
532	23840	110344
533	23884	110297
534	23924	110231
535	23969	110188
536	24014	110143
537	24058	110094
538	24103	110054
539	24152	110029
540	24198	109987
541	24242	109942
542	24284	109882
543	24330	109845
544	24373	109791
545	24418	109749
546	24461	109697
547	24505	109647
548	24547	109589
549	24593	109553
550	24636	109499
551	24678	109442
552	24722	109396
553	24767	109352
554	24812	109307
555	24855	109258
556	24901	109218
557	24948	109182
558	24992	109134
559	25034	109079
560	25081	109045
561	25125	108997
562	25171	108956
563	25217	108919
564	25262	108873
565	25302	108810
566	25347	108768
567	25399	108751
568	25445	108713
569	25493	108684
570	25539	108643
571	25582	108592
572	25627	108547
573	25669	108492
574	25715	108450
575	25762	108416
576	25805	108363
577	25847	108307
578	25890	108258
579	25931	108197
580	25978	108160
581	26021	108110
582	26067	108072
583	26111	108021
584	26159	107990
585	26203	107945
586	26247	107896
587	26290	107842
588	26330	107781
589	26376	107743
590	26419	107689
591	26466	107652
592	26513	107620
593	26559	107578
594	26604	107536
595	26647	107483
596	26696	107454
597	26738	107402
598	26785	107364
599	26829	107316
600	26873	107272
601	26926	107260
602	26974	107227
603	27020	107185
604	27063	107133
605	27107	107088
606	27150	107035
607	27195	106992
608	27236	106934
609	27283	106899
610	27329	106857
611	27376	106823
612	27421	106780
613	27464	106726
614	27511	106689
615	27556	106646
616	27601	106602
617	27648	106567
618	27697	106540
619	27741	106489
620	27784	106441
621	27830	106399
622	27876	106362
623	27924	106326
624	27968	106281
625	28015	106245
626	28061	106203
627	28106	106161
628	28151	106115
629	28191	106055
630	28237	106012
631	28279	105959
632	28321	105905
633	28365	105854
634	28408	105805
635	28451	105753
636	28494	105701
637	28538	105653
638	28583	105612
639	28632	105583
640	28675	105532
641	28720	105489
642	28762	105434
643	28808	105392
644	28853	105347
645	28902	105319
646	28947	105276
647	28990	105224
648	29034	105178
649	29079	105132
650	29126	105096
651	29172	105058
652	29216	105011
653	29260	104961
654	29305	104916
655	29350	104875
656	29392	104820
657	29434	104764
658	29479	104722
659	29523	104672
660	29565	104619
661	29613	104587
662	29657	104539
663	29703	104499
664	29746	104449
665	29795	104417
666	29839	104369
667	29885	104330
668	29932	104295
669	29977	104249
670	30021	104201
671	30066	104159
672	30111	104114
673	30157	104075
674	30204	104037
675	30250	103996
676	30291	103940
677	30339	103906
678	30382	103854
679	30426	103809
680	30470	103760
681	30516	103721
682	30560	103674
683	30603	103622
684	30647	103575
685	30694	103537
686	30738	103489
687	30783	103448
688	30827	103400
689	30875	103367
690	30923	103331
691	30968	103287
692	31011	103238
693	31053	103182
694	31099	103141
695	31144	103099
696	31194	103073
697	31242	103037
698	31283	102979
699	31329	102941
700	31371	102885
701	31420	102856
702	31465	102811
703	31508	102761
704	31553	102716
705	31598	102673
706	31640	102618
707	31686	102577
708	31729	102527
709	31775	102488
710	31818	102436
711	31866	102401
712	31914	102368
713	31960	102326
714	32004	102279
715	32048	102232
716	32089	102175
717	32134	102131
718	32178	102086
719	32220	102032
720	32268	101995
721	32313	101953
722	32359	101911
723	32408	101879
724	32453	101835
725	32494	101781
726	32542	101744
727	32583	101688
728	32629	101648
729	32675	101606
730	32718	101556
731	32766	101521
732	32806	101463
733	32853	101426
734	32901	101389
735	32948	101352
736	32997	101321
737	33040	101271
738	33083	101218
739	33128	101174
740	33176	101140
741	33219	101091
742	33263	101045
743	33316	101025
744	33360	100977
745	33404	100931
746	33448	100883
747	33493	100839
748	33541	100802
749	33586	100758
750	33631	100716
751	33673	100663
752	33722	100629
753	33766	100583
754	33811	100538
755	33853	100486
756	33899	100445
757	33942	100394
758	33990	100358
759	34035	100316
760	34080	100270
761	34123	100221
762	34166	100170
763	34212	100130
764	34253	100074
765	34301	100038
766	34348	99998
767	34394	99958
768	34436	99905
769	34473	99837
770	34514	99783
771	34558	99737
772	34602	99688
773	34649	99651
774	34694	99607
775	34737	99555
776	34783	99515
777	34829	99474
778	34877	99439
779	34921	99391
780	34964	99341
781	35011	99304
782	35056	99260
783	35101	99215
784	35145	99169
785	35192	99131
786	35236	99083
787	35277	99027
788	35322	98983
789	35366	98936
790	35418	98912
791	35462	98864
792	35507	98820
793	35550	98771
794	35597	98733
795	35640	98682
796	35687	98643
797	35732	98598
798	35772	98541
799	35818	98501
800	35861	98451
801	35912	98422
802	35963	98395
803	36011	98358
804	36058	98321
805	36103	98276
806	36147	98230
807	36194	98191
808	36235	98136
809	36282	98097
810	36325	98048
811	36371	98005
812	36413	97953
813	36461	97916
814	36503	97865
815	36548	97820
816	36596	97783
817	36641	97739
818	36686	97695
819	36726	97638
820	36774	97602
821	36819	97558
822	36859	97500
823	36904	97455
824	36952	97419
825	36999	97382
826	37045	97338
827	37088	97290
828	37129	97234
829	37174	97191
830	37218	97144
831	37262	97096
832	37304	97046
833	37354	97014
834	37400	96971
835	37441	96917
836	37486	96874
837	37532	96831
838	37572	96775
839	37621	96740
840	37669	96703
841	37712	96656
842	37755	96606
843	37798	96556
844	37841	96507
845	37886	96463
846	37932	96419
847	37975	96370
848	38021	96330
849	38068	96290
850	38113	96247
851	38157	96201
852	38204	96159
853	38238	96088
854	38283	96044
855	38329	96002
856	38377	95964
857	38421	95918
858	38467	95877
859	38511	95831
860	38557	95790
861	38601	95743
862	38644	95694
863	38685	95639
864	38734	95604
865	38777	95556
866	38821	95509
867	38865	95462
868	38911	95419
869	38956	95377
870	39003	95335
871	39047	95289
872	39089	95238
873	39137	95201
874	39185	95165
875	39228	95115
876	39274	95073
877	39314	95017
878	39360	94975
879	39402	94924
880	39447	94880
881	39489	94827
882	39534	94784
883	39576	94733
884	39624	94694
885	39666	94643
886	39713	94604
887	39759	94563
888	39806	94522
889	39852	94481
890	39898	94439
891	39939	94387
892	39984	94342
893	40028	94295
894	40071	94246
895	40119	94210
896	40167	94171
897	40209	94120
898	40254	94077
899	40297	94028
900	40341	93980
901	40392	93950
902	40434	93898
903	40481	93859
904	40528	93820
905	40578	93787
906	40621	93738
907	40672	93707
908	40736	93708
909	40783	93667
910	40823	93612
911	40880	93595
912	40926	93552
913	40971	93508
914	41016	93463
915	41062	93421
916	41107	93377
917	41149	93326
918	41198	93291
919	41244	93248
920	41288	93201
921	41330	93149
922	41378	93112
923	41422	93065
924	41465	93018
925	41514	92981
926	41558	92935
927	41604	92893
928	41651	92851
929	41696	92807
930	41742	92766
931	41782	92711
932	41829	92671
933	41869	92614
934	41916	92574
935	41963	92533
936	42008	92489
937	42048	92435
938	42094	92393
939	42138	92346
940	42177	92289
941	42223	92245
942	42268	92201
943	42313	92157
944	42356	92107
945	42403	92067
946	42446	92020
947	42489	91971
948	42532	91922
949	42577	91877
950	42626	91841
951	42672	91799
952	42719	91759
953	42763	91713
954	42809	91671
955	42858	91634
956	42902	91587
957	42944	91538
958	42993	91501
959	43039	91457
960	43082	91409
961	43128	91366
962	43178	91334
963	43222	91288
964	43267	91243
965	43314	91202
966	43355	91149
967	43407	91119
968	43456	91083
969	43503	91044
970	43547	90997
971	43591	90949
972	43638	90909
973	43685	90870
974	43729	90822
975	43770	90770
976	43818	90731
977	43863	90687
978	43907	90640
979	43956	90603
980	44002	90561
981	44049	90520
982	44093	90473
983	44136	90425
984	44185	90390
985	44228	90341
986	44270	90290
987	44316	90248
988	44363	90206
989	44408	90162
990	44451	90114
991	44497	90071
992	44541	90024
993	44590	89989
994	44636	89946
995	44681	89901
996	44727	89858
997	44774	89818
998	44819	89773
999	44861	89722
1000	44911	89687
1001	44961	89653
1002	45006	89608
1003	45053	89568
1004	45096	89520
1005	45142	89478
1006	45189	89436
1007	45234	89392
1008	45276	89342
1009	45322	89298
1010	45364	89248
1011	45411	89207
1012	45455	89161
1013	45502	89119
1014	45546	89073
1015	45583	89012
1016	45624	88960
1017	45671	88920
1018	45715	88873
1019	45762	88832
1020	45808	88789
1021	45852	88744
1022	45891	88688
1023	45937	88645
1024	45982	88601
1025	46032	88564
1026	46076	88518
1027	46117	88467
1028	46167	88431
1029	46211	88384
1030	46253	88335
1031	46297	88288
1032	46340	88240
1033	46386	88196
1034	46430	88150
1035	46472	88099
1036	46522	88065
1037	46566	88018
1038	46606	87965
1039	46653	87923
1040	46695	87872
1041	46737	87823
1042	46779	87772
1043	46823	87726
1044	46867	87681
1045	46910	87632
1046	46956	87589
1047	47000	87543
1048	47047	87501
1049	47089	87452
1050	47138	87414
1051	47180	87364
1052	47226	87322
1053	47275	87285
1054	47324	87248
1055	47370	87205
1056	47415	87159
1057	47456	87108
1058	47505	87070
1059	47552	87029
1060	47595	86982
1061	47642	86941
1062	47691	86903
1063	47738	86863
1064	47784	86819
1065	47826	86769
1066	47872	86726
1067	47916	86680
1068	47964	86640
1069	48008	86594
1070	48051	86546
1071	48097	86504
1072	48143	86461
1073	48188	86416
1074	48234	86373
1075	48279	86329
1076	48323	86282
1077	48369	86239
1078	48411	86189
1079	48457	86147
1080	48500	86098
1081	48544	86052
1082	48592	86011
1083	48636	85967
1084	48680	85920
1085	48728	85880
1086	48768	85826
1087	48814	85784
1088	48856	85733
1089	48900	85688
1090	48943	85640
1091	48989	85597
1092	49032	85548
1093	49077	85504
1094	49122	85459
1095	49166	85414
1096	49210	85367
1097	49256	85324
1098	49300	85277
1099	49345	85233
1100	49391	85190
1101	49439	85151
1102	49485	85107
1103	49528	85059
1104	49573	85015
1105	49615	84966
1106	49659	84919
1107	49707	84878
1108	49752	84835
1109	49798	84791
1110	49844	84749
1111	49890	84706
1112	49940	84669
1113	49983	84621
1114	50023	84569
1115	50068	84523
1116	50108	84471
1117	50156	84431
1118	50204	84392
1119	50247	84344
1120	50295	84304
1121	50343	84263
1122	50387	84219
1123	50430	84171
1124	50478	84131
1125	50522	84085
1126	50566	84037
1127	50617	84003
1128	50665	83964
1129	50713	83924
1130	50755	83874
1131	50802	83832
1132	50848	83790
1133	50893	83744
1134	50940	83703
1135	50989	83665
1136	51033	83619
1137	51073	83566
1138	51121	83527
1139	51166	83481
1140	51212	83439
1141	51260	83398
1142	51307	83357
1143	51351	83312
1144	51397	83269
1145	51441	83221
1146	51487	83179
1147	51530	83131
1148	51576	83087
1149	51622	83044
1150	51666	82999
1151	51710	82951
1152	51756	82908
1153	51801	82863
1154	51846	82819
1155	51892	82775
1156	51939	82734
1157	51986	82692
1158	52029	82646
1159	52069	82593
1160	52115	82550
1161	52158	82501
1162	52207	82463
1163	52253	82420
1164	52297	82374
1165	52345	82333
1166	52392	82293
1167	52435	82245
1168	52478	82196
1169	52512	82134
1170	52557	82090
1171	52602	82046
1172	52647	82001
1173	52690	81952
1174	52735	81909
1175	52785	81871
1176	52840	81842
1177	52886	81799
1178	52932	81755
1179	52979	81713
1180	53022	81666
1181	53066	81620
1182	53112	81576
1183	53156	81530
1184	53206	81493
1185	53252	81450
1186	53298	81407
1187	53345	81365
1188	53392	81323
1189	53441	81284
1190	53486	81239
1191	53527	81190
1192	53579	81154
1193	53626	81112
1194	53676	81076
1195	53721	81030
1196	53766	80986
1197	53807	80936
1198	53854	80894
1199	53898	80848
1200	53946	80806
1201	53998	80772
1202	54040	80723
1203	54086	80680
1204	54131	80635
1205	54182	80599
1206	54232	80562
1207	54276	80516
1208	54316	80464
1209	54361	80419
1210	54404	80371
1211	54448	80325
1212	54492	80278
1213	54533	80228
1214	54576	80179
1215	54616	80128
1216	54661	80082
1217	54703	80033
1218	54753	79996
1219	54797	79951
1220	54840	79902
1221	54884	79856
1222	54928	79810
1223	54975	79768
1224	55018	79720
1225	55065	79678
1226	55108	79631
1227	55156	79590
1228	55200	79544
1229	55245	79499
1230	55292	79457
1231	55339	79416
1232	55385	79371
1233	55430	79327
1234	55473	79279
1235	55519	79236
1236	55567	79195
1237	55609	79147
1238	55652	79099
1239	55694	79049
