product,animal,time_of_day,storage,days_since,density,fat,snf,size,condition,type,purity,moisture,name,ripeness,color,quantity,freshness,grade
milk,buffalo,evening,room,6,1.04,6.5,9.0,,,,,,,,,10.0,,C
milk,cow,morning,refrigerated,4,1.03,3.5,8.5,,,,,,,,,40.0,,C
honey,,,refrigerated,41,0.0,0.0,0.0,,,light,85,17,,,,95.9,,C
honey,,,room,159,0.0,0.0,0.0,,,dark,80,20,,,,84.1,,C
fruits,,,refrigerated,4,0.0,0.0,0.0,small,,,,,apple,hard,red,1.0,60.0,B
milk,cow,morning,refrigerated,6,1.03,3.5,8.5,,,,,,,,,10.0,,C
vegetables,,,refrigerated,1,0.0,0.0,0.0,large,,,,,tomato,medium,green,41.0,90.0,A
eggs,,,room,12,0.0,0.0,0.0,medium,clean,,,,,,,16.0,,C
fruits,,,refrigerated,6,0.0,0.0,0.0,large,,,,,pineapple,medium,yellow,42.0,40.0,C
honey,,,refrigerated,246,0.0,0.0,0.0,,,dark,80,20,,,,75.4,,C
milk,goat,evening,refrigerated,0,1.032,4.5,8.0,,,,,,,,,100.0,,C
honey,,,room,79,0.0,0.0,0.0,,,light,85,17,,,,92.1,,C
vegetables,,,room,0,0.0,0.0,0.0,large,,,,,potato,soft,green,3.0,100.0,A
fruits,,,refrigerated,0,0.0,0.0,0.0,small,,,,,orange,soft,green,47.0,100.0,A
honey,,,refrigerated,100,0.0,0.0,0.0,,,dark,80,20,,,,90.0,,C
fruits,,,room,6,0.0,0.0,0.0,medium,,,,,guava,soft,red,34.0,40.0,C
vegetables,,,room,3,0.0,0.0,0.0,medium,,,,,cucumber,soft,red,19.0,70.0,B
milk,buffalo,evening,room,4,1.04,6.5,9.0,,,,,,,,,40.0,,C
eggs,,,room,5,0.0,0.0,0.0,large,dirty,,,,,,,65.0,,C
eggs,,,room,12,0.0,0.0,0.0,large,dirty,,,,,,,16.0,,C
eggs,,,room,0,0.0,0.0,0.0,small,dirty,,,,,,,100.0,,C
honey,,,refrigerated,62,0.0,0.0,0.0,,,light,85,17,,,,93.8,,C
eggs,,,room,2,0.0,0.0,0.0,small,clean,,,,,,,86.0,,C
milk,cow,morning,room,7,1.03,3.5,8.5,,,,,,,,,0.0,,C
vegetables,,,room,2,0.0,0.0,0.0,large,,,,,tomato,hard,red,8.0,80.0,A
fruits,,,refrigerated,0,0.0,0.0,0.0,small,,,,,pear,medium,green,25.0,100.0,A
eggs,,,refrigerated,14,0.0,0.0,0.0,small,dirty,,,,,,,2.0,,C
vegetables,,,refrigerated,3,0.0,0.0,0.0,medium,,,,,cabbage,hard,yellow,20.0,70.0,B
eggs,,,refrigerated,10,0.0,0.0,0.0,medium,clean,,,,,,,30.0,,C
fruits,,,refrigerated,4,0.0,0.0,0.0,small,,,,,papaya,medium,yellow,1.0,60.0,B
fruits,,,refrigerated,7,0.0,0.0,0.0,small,,,,,banana,hard,green,41.0,30.0,C
